"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Wed Dec 27 17:11:29 IST 2023","Wed Dec 27 17:11:29 IST 2023","1","Suite9","Test9","cuesz.membersummarytest.advocate.Case80_MS_Sessionoutcometest","cuesz.membersummarytest.advocate.Case80_MS_Sessionoutcometest","advocateScheduleEventTest","advocateScheduleEventTest","Verify the click on  uplaod PerformanceSummary ."
"broken","Wed Dec 27 17:11:28 IST 2023","Wed Dec 27 17:11:28 IST 2023","0","Suite9","Test9","cuesz.membersummarytest.advocate.Case28_MS_Addnewgoaltest","cuesz.membersummarytest.advocate.Case28_MS_Addnewgoaltest","setUp","setUp",""
"passed","Wed Dec 27 16:51:15 IST 2023","Wed Dec 27 16:56:47 IST 2023","332490","Suite7","Test7","cuesz.logictest.advocate.Case43_MSL_Fueltest","cuesz.logictest.advocate.Case43_MSL_Fueltest","advocatelogicmemberTest","advocatelogicmemberTest","Operating System: Mac OS X (Version: 14.0)"
"broken","Wed Dec 27 17:11:29 IST 2023","Wed Dec 27 17:11:29 IST 2023","0","Suite9","Test9","cuesz.membersummarytest.advocate.Case78_MS_uplaodperformancesummarytest","cuesz.membersummarytest.advocate.Case78_MS_uplaodperformancesummarytest","setUp","setUp",""
"skipped","Wed Dec 27 17:11:29 IST 2023","Wed Dec 27 17:11:29 IST 2023","0","Suite9","Test9","cuesz.membersummarytest.advocate.Case71_MS_bodyscancomparetest","cuesz.membersummarytest.advocate.Case71_MS_bodyscancomparetest","advocatebodyscanresultTest","advocatebodyscanresultTest","Verify the click on Body Scan Result functionlaity ."
"passed","Wed Dec 27 16:44:04 IST 2023","Wed Dec 27 16:44:53 IST 2023","49045","Suite7","Test7","cuesz.logictest.advocate.Case34_MSL_MemberBasicinfotest","cuesz.logictest.advocate.Case34_MSL_MemberBasicinfotest","advocatelogicmemberTest","advocatelogicmemberTest","Operating System: Mac OS X (Version: 14.0)"
"broken","Wed Dec 27 17:11:29 IST 2023","Wed Dec 27 17:11:29 IST 2023","0","Suite9","Test9","cuesz.membersummarytest.advocate.Case34_MS_VO2Resulttest","cuesz.membersummarytest.advocate.Case34_MS_VO2Resulttest","setUp","setUp",""
"broken","Wed Dec 27 17:11:28 IST 2023","Wed Dec 27 17:11:28 IST 2023","0","Suite9","Test9","cuesz.membersummarytest.advocate.Case24_MS_Mindfulactivitytest","cuesz.membersummarytest.advocate.Case24_MS_Mindfulactivitytest","setUp","setUp",""
"broken","Wed Dec 27 17:11:29 IST 2023","Wed Dec 27 17:11:29 IST 2023","1","Suite9","Test9","cuesz.membersummarytest.advocate.Case32_MS_Bodyscanresulttest","cuesz.membersummarytest.advocate.Case32_MS_Bodyscanresulttest","setUp","setUp",""
"broken","Wed Dec 27 17:07:44 IST 2023","Wed Dec 27 17:11:03 IST 2023","198856","Suite9","Test9","cuesz.membersummarytest.advocate.Case21_MS_speherestest","cuesz.membersummarytest.advocate.Case21_MS_speherestest","advocatespheredataTest","advocatespheredataTest","Verify the 4spheres dropdown functionlaity ."
"skipped","Wed Dec 27 17:11:29 IST 2023","Wed Dec 27 17:11:29 IST 2023","1","Suite9","Test9","cuesz.membersummarytest.advocate.Case77_MS_uplaodtonnage_Physiologicaltest","cuesz.membersummarytest.advocate.Case77_MS_uplaodtonnage_Physiologicaltest","advocateScheduleEventTest","advocateScheduleEventTest","Verify the click on  uplaodtonnage_Physiological functionlaity ."
